City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Benguela,AO,80.76,light rain,-12.5763,13.4055,Hotel Praia Morena
486,Karratha,AU,85.73,light rain,-20.7377,116.8463,ibis Styles Karratha
498,Hervey Bay,AU,72.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
501,Mazamari,PE,72.81,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
502,Guacimo,CR,82.2,broken clouds,10.2104,-83.6807,Hotel Los Ríos
504,Padang,ID,79.07,moderate rain,-0.9492,100.3543,Mercure Padang
505,Luanda,AO,86.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
507,Tautira,PF,81.73,overcast clouds,-17.7333,-149.15,Pension Oaoa
509,Kavaratti,IN,84.25,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
513,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
514,Ca Mau,VN,79.66,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
517,Kaniama,CD,82.49,scattered clouds,-7.5667,24.1833,
518,Sabzevar,IR,81.68,broken clouds,36.2126,57.6819,پزشکی قانونی سبزوار
520,Semnan,IR,80.44,clear sky,35.5729,53.3971,Semnan Tourist Hotel
526,Trairi,BR,81.9,overcast clouds,-3.2778,-39.2689,janelas do mar
527,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
533,San Juan,AR,74.84,clear sky,-31.5375,-68.5364,Hotel Provincial
535,Mbulu,TZ,79.41,few clouds,-3.85,35.5333,Pasila Lodge
536,Salinopolis,BR,81.5,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
537,Kasongo-Lunda,CD,88.61,overcast clouds,-6.4667,16.8167,
545,Saint-Leu,RE,79.66,light rain,-21.15,55.2833,La Caz Oceane
548,Houma,US,78.8,mist,29.5958,-90.7195,Courtyard by Marriott Houma
549,Richards Bay,ZA,81.27,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
550,Kieta,PG,76.57,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
555,Sao Francisco De Paula,BR,75.69,scattered clouds,-29.4481,-50.5836,Hotel Village da Serra
558,Catamarca,AR,78.78,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
562,Tevaitoa,PF,82.29,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
563,Kabinda,CD,78.28,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
565,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
572,Balfour,ZA,76.69,clear sky,-26.6633,28.5902,Bedz4Headz Guesthouse
575,Pietersburg,ZA,83.25,scattered clouds,-23.9045,29.4688,Fusion Boutique Hotel
577,Mount Darwin,ZW,75.96,light rain,-16.7725,31.5838,
579,Marzuq,YE,85.41,clear sky,14.4,46.4667,
581,Catuday,PH,78.8,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
583,Panaba,MX,84.0,broken clouds,21.2833,-88.2667,Hotel California
587,Cuamba,MZ,80.35,light rain,-14.8031,36.5372,Hotel Vision
590,Dicabisagan,PH,76.44,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
592,Gympie,AU,70.18,clear sky,-26.1898,152.665,Mary River Motor Inn
594,Hobyo,SO,83.35,clear sky,5.3505,48.5268,Iftin hotel hobyo
596,Chancay,PE,71.56,few clouds,-11.5714,-77.2672,Hotel Madre Perla
601,Taltal,CL,73.45,broken clouds,-25.4,-70.4833,Residencial Karime
603,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
605,Mkushi,ZM,74.88,moderate rain,-13.6202,29.3939,Mkushi Police Club
608,Baturaja,ID,74.3,light rain,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
611,Itupiranga,BR,84.52,broken clouds,-5.1347,-49.3267,Hotel Panorama
613,Maues,BR,81.9,scattered clouds,-3.3836,-57.7186,Hotel Miramar
614,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
619,Barkly West,ZA,72.68,clear sky,-28.5354,24.5215,Stafford Parker Guest House
622,Qandala,SO,84.34,clear sky,11.472,49.8728,
623,Bahia Honda,CU,82.87,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
625,Les Cayes,HT,79.66,broken clouds,18.2,-73.75,Villa Orphee
629,Guarapari,BR,81.9,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
631,Champerico,GT,81.14,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
634,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
635,Shambu,ET,77.09,scattered clouds,9.5667,37.1,Wabe Hotel
637,Kumluca,TR,70.57,clear sky,36.3703,30.2869,TurkuazKöy
638,Labuhan,ID,78.66,scattered clouds,-6.8844,112.2051,DoubleFAG
640,Unai,BR,88.09,clear sky,-16.3575,-46.9061,Hotel Regente
643,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
644,Mapiri,BO,81.25,overcast clouds,-15.25,-68.1667,
648,Tukrah,LY,80.58,broken clouds,32.5341,20.5791,Lagrota restaurant
650,Ginir,ET,72.18,clear sky,7.1333,40.7,Sura Dare Village
655,Tulagi,SB,79.45,moderate rain,-9.0996,160.1476,Raiders Hotel & Dive
658,Minas,UY,77.36,clear sky,-34.3759,-55.2377,Hotel Minas
660,Caravelas,BR,87.17,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
663,Paita,PE,74.95,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
664,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
666,Pyu,MM,80.35,broken clouds,18.4833,96.4333,Mr Bo Bo
667,Kampong Thum,KH,81.79,broken clouds,12.7111,104.8887,Sambor Village Hotel
669,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
672,Ribeirao Branco,BR,73.72,scattered clouds,-24.2208,-48.7656,FAZENDA ITAL
673,Buluang,PH,75.0,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
675,Santiago,CL,79.29,clear sky,-33.4569,-70.6483,Hotel Panamericano
676,Myitkyina,MM,72.09,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
677,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
679,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
