City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Bafq,IR,31.6128,55.4107,89.17,4,9,11.88,clear sky
302,Abomey,BJ,7.1829,1.9912,97.75,37,96,7.05,overcast clouds
303,Vysokogornyy,RU,50.1167,139.15,19.69,89,100,15.1,light snow
304,Parkes,AU,-33.1333,148.1833,67.35,63,94,9.13,overcast clouds
305,Santa Cruz,BO,-17.8,-63.1667,85.46,65,75,5.75,broken clouds
306,Kuryk,KZ,43.2,51.65,51.49,79,97,11.79,overcast clouds
307,Hamada,JP,34.8833,132.0833,51.01,56,0,3.33,clear sky
308,Tomari,RU,47.7658,142.0683,32.74,59,36,20.24,scattered clouds
309,Santa Margherita Ligure,IT,44.3346,9.212,61.56,64,100,4.27,overcast clouds
310,Nishihara,JP,26.1842,127.7558,67.28,65,40,8.05,scattered clouds
311,Lagoa,PT,39.05,-27.9833,60.71,86,68,20.42,broken clouds
312,Mayo,US,38.8876,-76.5119,54.99,94,100,11.5,mist
313,Mosetse,BW,-20.75,26.65,92.43,21,27,6.87,scattered clouds
314,Bakonyszentlaszlo,HU,47.389,17.8032,67.01,49,50,13.02,scattered clouds
315,Tokur,RU,53.1333,132.9,7.07,96,100,3.44,overcast clouds
316,Laguna,US,38.421,-121.4238,56.17,56,0,8.05,clear sky
317,Skibbereen,IE,51.55,-9.2667,51.12,74,97,29.33,overcast clouds
318,Tortoli,IT,39.9256,9.6572,57.02,82,40,9.22,scattered clouds
319,Saldanha,ZA,-33.0117,17.9442,62.06,58,72,16.17,broken clouds
320,Betanzos,ES,43.2804,-8.2147,61.75,61,40,10.36,scattered clouds
321,Porto Torres,IT,40.835,8.3972,57.38,89,100,6.04,moderate rain
322,Gat,IL,31.61,34.7642,77.4,47,0,13.6,clear sky
323,Goroka,PG,-6.0834,145.3873,60.48,98,100,2.46,overcast clouds
324,Segarcea,RO,44.1,23.75,71.67,32,0,5.41,clear sky
325,Korla,CN,41.7597,86.1469,69.67,16,0,5.37,clear sky
326,Alihe,CN,50.5667,123.7167,22.26,53,9,8.32,clear sky
327,Homer,US,59.6425,-151.5483,34.81,86,100,5.99,light snow
328,Kaeo,NZ,-35.1,173.7833,61.32,96,85,5.08,overcast clouds
329,Hamilton,US,39.1834,-84.5333,52.77,96,100,14.97,light rain
330,Awbari,LY,26.5921,12.7805,105.8,4,0,15.86,clear sky
331,Rawson,AR,-43.3002,-65.1023,58.46,76,99,11.95,overcast clouds
332,Vardo,NO,70.3705,31.1107,35.58,69,40,26.46,scattered clouds
333,Takaka,NZ,-40.85,172.8,54.55,73,12,4.72,few clouds
334,Santa Maria,BR,-29.6842,-53.8069,72.97,70,2,4.92,clear sky
335,Birakan,RU,49.0167,131.7,20.5,77,15,8.55,few clouds
336,Biak,ID,-0.9131,122.8766,76.62,82,100,0.98,overcast clouds
337,Cascais,PT,38.6979,-9.4215,66.51,53,20,21.85,few clouds
338,Poya,NC,-21.35,165.15,77.81,91,100,26.42,light rain
339,Soledade,BR,-28.8183,-52.5103,70.97,71,63,2.26,broken clouds
340,Aleksandriya,RU,45.0947,43.2456,49.86,72,100,6.89,overcast clouds
341,Sabang,ID,5.8933,95.3214,82.09,65,98,6.2,overcast clouds
342,Drochia,MD,48.035,27.8161,60.22,44,97,8.12,overcast clouds
343,Fort Nelson,CA,58.8053,-122.7002,35.19,41,75,6.91,broken clouds
344,Policoro,IT,40.2115,16.6726,64.02,60,5,10.67,clear sky
