City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Rucheng,CN,2022-04-03 15:12:00,32.3883,120.5553,49.96,65,0,7.09
178,Havre-Saint-Pierre,CA,2022-04-03 15:12:01,50.2334,-63.5986,33.98,71,68,13.69
179,Saint-Louis,SN,2022-04-03 15:12:01,16.3333,-15.0,96.4,16,3,13.78
180,Mahebourg,MU,2022-04-03 15:12:02,-20.4081,57.7,79.25,78,75,12.66
181,Hibbing,US,2022-04-03 15:12:02,47.4272,-92.9377,33.31,60,0,5.75
182,Virginia Beach,US,2022-04-03 15:12:03,36.8529,-75.978,66.24,51,20,13.13
183,Jardim,BR,2022-04-03 15:11:46,-21.4803,-56.1381,85.96,55,17,8.9
184,Havelock,US,2022-04-03 15:12:04,34.8791,-76.9013,69.75,49,0,17.27
185,Zemio,CF,2022-04-03 15:12:04,5.0314,25.1361,90.7,34,63,7.18
186,Chuy,UY,2022-04-03 15:12:05,-33.6971,-53.4616,73.47,64,100,11.68
187,Gambela,ET,2022-04-03 15:09:16,8.25,34.5833,95.11,30,94,2.71
188,Cherskiy,RU,2022-04-03 15:12:06,68.75,161.3,-3.87,99,100,4.45
189,Riyadh,SA,2022-04-03 15:10:36,24.6877,46.7219,93.34,8,60,9.64
190,Lucea,JM,2022-04-03 15:12:07,18.451,-78.1736,82.26,68,5,2.82
191,Morondava,MG,2022-04-03 15:07:23,-20.2833,44.2833,82.04,64,0,11.88
192,San Quintin,MX,2022-04-03 15:12:08,30.4833,-115.95,59.07,69,100,5.1
193,Vao,NC,2022-04-03 15:12:09,-22.6667,167.4833,78.69,89,100,22.39
194,Labuhan,ID,2022-04-03 15:12:09,-6.8844,112.2051,80.17,80,99,2.24
195,Shush,IR,2022-04-03 15:07:18,32.1942,48.2436,88.5,13,100,7.02
196,Tarko-Sale,RU,2022-04-03 15:12:10,64.9225,77.785,2.61,95,27,5.19
197,Bonfim,BR,2022-04-03 15:12:10,3.0833,-59.95,82.11,66,100,7.58
198,Paamiut,GL,2022-04-03 15:01:43,61.994,-49.6678,35.24,76,93,3.06
199,Englewood,US,2022-04-03 15:12:11,39.6478,-104.9878,47.57,49,100,6.91
200,Ketchikan,US,2022-04-03 15:12:12,55.3422,-131.6461,39.67,87,100,11.5
201,Evensk,RU,2022-04-03 15:12:12,61.95,159.2333,6.39,85,27,6.31
202,Kenitra,MA,2022-04-03 15:12:13,34.261,-6.5802,68.76,50,100,11.23
203,Severo-Kurilsk,RU,2022-04-03 15:12:13,50.6789,156.125,28.96,85,24,13.6
204,Bethel,US,2022-04-03 15:10:05,41.3712,-73.414,48.29,73,100,5.75
205,Pleasanton,US,2022-04-03 15:12:14,37.6624,-121.8747,58.01,84,0,0.0
206,Tasiilaq,GL,2022-04-03 15:12:14,65.6145,-37.6368,32.16,86,100,3.24
207,Tuatapere,NZ,2022-04-03 15:12:15,-46.1333,167.6833,48.4,92,57,2.95
208,San Cristobal,VE,2022-04-03 15:12:15,7.7669,-72.225,77.18,62,100,6.55
209,Suleja,NG,2022-04-03 15:12:15,9.1758,7.1808,101.21,20,91,6.55
210,Yertarskiy,RU,2022-04-03 15:12:16,56.7902,64.2995,39.74,97,100,11.81
211,Shiyan,CN,2022-04-03 15:12:17,32.6475,110.7781,58.15,76,98,0.85
212,Tashtyp,RU,2022-04-03 15:12:17,52.7939,89.8983,39.79,97,100,9.73
213,Pitimbu,BR,2022-04-03 15:12:18,-7.4706,-34.8086,86.59,73,16,14.88
214,Yueyang,CN,2022-04-03 15:12:18,29.3333,113.0919,60.84,59,97,3.22
215,Mayo,US,2022-04-03 15:12:19,38.8876,-76.5119,61.5,56,0,5.99
216,Khatanga,RU,2022-04-03 15:11:36,71.9667,102.5,-21.51,100,98,5.61
217,Phalaborwa,ZA,2022-04-03 15:12:19,-23.943,31.1411,89.89,30,5,7.02
218,Okhotsk,RU,2022-04-03 15:12:20,59.3833,143.3,18.16,89,100,8.05
219,Anadyr,RU,2022-04-03 15:12:20,64.75,177.4833,-20.13,98,35,5.73
220,Gardez,AF,2022-04-03 15:12:21,33.5974,69.2259,58.01,16,0,3.38
221,Mount Gambier,AU,2022-04-03 15:13:22,-37.8333,140.7667,49.91,100,12,4.61
222,Husavik,IS,2022-04-03 15:13:22,66.0449,-17.3389,33.4,98,100,11.54
223,Andover,GB,2022-04-03 15:13:23,51.2083,-1.4825,49.55,45,100,8.01
224,Dunedin,NZ,2022-04-03 15:13:23,-45.8742,170.5036,56.8,75,32,3.6
225,Carmen Del Parana,PY,2022-04-03 15:13:24,-27.2333,-56.2167,73.53,80,100,7.4
226,Mangulile,HN,2022-04-03 15:13:24,15.0667,-86.8,72.09,49,10,1.77
227,Cochrane,CA,2022-04-03 15:10:47,51.1834,-114.4687,36.5,51,43,5.41
228,Tommot,RU,2022-04-03 15:13:25,58.9564,126.2925,12.49,96,100,3.67
229,Missoula,US,2022-04-03 15:13:25,47.0166,-113.8009,19.8,77,24,3.42
230,Ancona,IT,2022-04-03 15:13:26,43.55,13.1667,54.84,57,75,5.75
231,Charters Towers,AU,2022-04-03 15:13:26,-20.1,146.2667,74.68,83,90,7.94
232,Dauphin,CA,2022-04-03 15:13:26,51.1494,-100.0502,27.21,85,89,2.28
233,Atar,MR,2022-04-03 15:13:27,20.5169,-13.0499,90.1,9,0,16.75
234,Iqaluit,CA,2022-04-03 15:12:47,63.7506,-68.5145,24.53,92,75,17.27
235,Altay,CN,2022-04-03 15:13:27,47.8667,88.1167,36.34,59,69,7.87
236,Abonnema,NG,2022-04-03 15:13:28,4.7084,6.7931,87.84,61,100,8.5
237,Tautira,PF,2022-04-03 15:13:28,-17.7333,-149.15,81.39,79,26,7.78
238,Sorland,NO,2022-04-03 15:13:28,67.667,12.6934,34.21,79,100,16.53
239,Belmonte,BR,2022-04-03 15:13:29,-15.8631,-38.8828,83.52,64,10,7.07
240,Roald,NO,2022-04-03 15:12:49,62.5833,6.1333,41.16,93,75,3.44
241,Den Helder,NL,2022-04-03 15:13:30,52.9599,4.7593,47.98,70,100,15.01
242,Hukeri,IN,2022-04-03 15:13:30,16.2333,74.6,84.47,50,98,13.27
243,Sioux Lookout,CA,2022-04-03 15:13:30,50.1001,-91.917,30.16,87,100,2.89
244,Karlskoga,SE,2022-04-03 15:13:31,59.3267,14.5239,45.39,50,100,11.41
245,Quthing,LS,2022-04-03 15:13:31,-30.4,27.7003,65.08,70,68,6.02
246,Half Moon Bay,US,2022-04-03 15:13:32,37.4636,-122.4286,58.44,83,20,4.61
247,Alofi,NU,2022-04-03 15:13:32,-19.0595,-169.9187,79.88,73,65,9.01
248,Governador Dix-Sept Rosado,BR,2022-04-03 15:13:32,-5.4577,-37.5209,93.0,43,41,11.03
249,Minsk,BY,2022-04-03 15:13:33,53.9,27.5667,38.95,44,95,10.25
250,The Valley,AI,2022-04-03 15:13:33,18.217,-63.0578,84.06,69,20,16.11
251,Taltal,CL,2022-04-03 15:13:34,-25.4,-70.4833,68.65,63,0,6.69
252,Palu,ID,2022-04-03 15:13:34,-0.8917,119.8707,76.32,96,100,1.05
253,Lorengau,PG,2022-04-03 15:13:34,-2.0226,147.2712,79.68,80,100,1.1
254,Verkhoyansk,RU,2022-04-03 15:13:35,67.5447,133.385,-3.59,100,96,2.01
255,Neyshabur,IR,2022-04-03 15:13:35,36.2133,58.7958,72.41,14,4,4.85
256,Ancud,CL,2022-04-03 15:13:36,-41.8697,-73.8203,49.23,72,62,3.33
257,Grand Gaube,MU,2022-04-03 15:13:36,-20.0064,57.6608,79.38,77,72,5.99
258,Adrar,MR,2022-04-03 15:13:37,20.5022,-10.0711,96.51,7,0,22.26
259,Xucheng,CN,2022-04-03 15:13:37,20.35,110.1288,64.29,65,40,12.08
260,Haines Junction,CA,2022-04-03 15:13:38,60.7522,-137.5108,13.95,99,80,1.68
261,Wajir,KE,2022-04-03 15:13:38,1.7471,40.0573,97.11,23,99,10.83
262,Lapeer,US,2022-04-03 15:13:39,43.0514,-83.3188,37.51,100,100,8.05
263,Marawi,PH,2022-04-03 15:13:39,7.9986,124.2928,68.2,97,98,1.19
264,Ostrovnoy,RU,2022-04-03 15:13:40,68.0531,39.5131,20.01,85,99,9.35
265,Jiangdu,CN,2022-04-03 15:13:40,32.4286,119.5574,44.65,78,0,8.66
266,Yarada,IN,2022-04-03 15:13:40,17.65,83.2667,84.52,74,40,6.91
267,Saldanha,ZA,2022-04-03 15:13:41,-33.0117,17.9442,65.97,65,0,7.81
268,Asyut,EG,2022-04-03 15:14:41,27.181,31.1837,97.21,5,100,11.34
269,Beringovskiy,RU,2022-04-03 15:14:42,63.05,179.3167,-8.68,94,86,13.18
270,Rio Grande,BR,2022-04-03 15:14:42,-32.035,-52.0986,69.91,94,100,13.2
271,Vallenar,CL,2022-04-03 15:14:42,-28.5708,-70.7581,74.37,37,0,4.29
272,Badhni Kalan,IN,2022-04-03 15:14:43,30.6833,75.2833,81.05,6,4,7.18
273,Ampanihy,MG,2022-04-03 15:14:43,-24.7,44.75,82.4,40,0,12.3
274,Beloha,MG,2022-04-03 15:14:43,-25.1667,45.05,78.17,62,0,11.25
275,Januaria,BR,2022-04-03 15:14:44,-15.4833,-44.3667,92.23,29,6,8.5
276,Ulladulla,AU,2022-04-03 15:14:44,-35.35,150.4667,63.75,57,0,10.54
277,Kamakwie,SL,2022-04-03 15:12:52,9.5,-12.2333,101.75,19,79,4.9
278,Mulanje,MW,2022-04-03 15:14:45,-16.0316,35.5,74.37,94,40,3.69
279,Homer,US,2022-04-03 15:10:44,59.6425,-151.5483,34.81,85,100,3.44
280,Shiogama,JP,2022-04-03 15:14:45,38.3167,141.0333,48.69,80,100,7.45
281,Bolshoye Murashkino,RU,2022-04-03 15:14:46,55.7826,44.7754,32.32,97,100,10.89
282,Aizkraukle,LV,2022-04-03 15:14:46,56.6048,25.2553,39.67,39,87,5.5
283,Pisco,PE,2022-04-03 15:09:49,-13.7,-76.2167,69.85,73,0,9.22
284,Sterling,US,2022-04-03 15:14:47,39.0062,-77.4286,59.86,53,75,24.16
